string_external_id,abundance,ENSPID,UniProtID,MolecularWeight
9606.ENSP00000340466,459.0,ENSP00000340466,Q14697,106874.0
9606.ENSP00000352438,454.0,ENSP00000352438,Q15366,38580.0
9606.ENSP00000266732,436.0,ENSP00000266732,P42166,75492.0
9606.ENSP00000419425,421.0,ENSP00000419425,P62937,18012.0
9606.ENSP00000365439,399.0,ENSP00000365439,P61978,50976.0
9606.ENSP00000361777,398.0,ENSP00000361777,Q01105,33489.0
9606.ENSP00000348380,393.0,ENSP00000348380,Q6UW02,52432.0
9606.ENSP00000335153,391.0,ENSP00000335153,P07900,84660.0
9606.ENSP00000356354,389.0,ENSP00000356354,P22061,24636.0
9606.ENSP00000347005,385.0,ENSP00000347005,Q9Y383,46514.0
9606.ENSP00000410059,384.0,ENSP00000410059,A0A8C8L741,39906.0
9606.ENSP00000360609,378.0,ENSP00000360609,P08238,83264.0
9606.ENSP00000319788,377.0,ENSP00000319788,P15559,30868.0
9606.ENSP00000323856,377.0,ENSP00000323856,Q15149,531791.0
9606.ENSP00000320866,376.0,ENSP00000320866,P27797,48142.0
9606.ENSP00000423563,372.0,ENSP00000423563,O75367,39184.0
9606.ENSP00000320171,372.0,ENSP00000320171,P14618,57937.0
9606.ENSP00000396937,372.0,ENSP00000396937,Q9UNM6,42945.0
9606.ENSP00000477538,371.0,ENSP00000477538,P55209,45374.0
9606.ENSP00000234590,371.0,ENSP00000234590,P06733,47169.0
9606.ENSP00000357283,368.0,ENSP00000357283,P02545,74139.0
9606.ENSP00000345230,368.0,ENSP00000345230,A0A5F9UN72,18370.0
9606.ENSP00000264932,364.0,ENSP00000264932,P31040,72692.0
9606.ENSP00000217121,361.0,ENSP00000217121,O43399,22238.0
9606.ENSP00000367050,360.0,ENSP00000367050,O95197,112611.0
9606.ENSP00000335304,360.0,ENSP00000335304,P36957,48755.0
9606.ENSP00000239940,356.0,ENSP00000239940,P35080,15046.0
9606.ENSP00000382595,355.0,ENSP00000382595,P22234,47079.0
9606.ENSP00000404121,355.0,ENSP00000404121,,
9606.ENSP00000263867,353.0,ENSP00000263867,P40121,38499.0
9606.ENSP00000222572,353.0,ENSP00000222572,Q15165,39381.0
9606.ENSP00000358089,349.0,ENSP00000358089,Q01085,41591.0
9606.ENSP00000318697,347.0,ENSP00000318697,Q9BUF5,49857.0
9606.ENSP00000295640,346.0,ENSP00000295640,Q9H4A4,72596.0
9606.ENSP00000377941,342.0,ENSP00000377941,P12814,103058.0
9606.ENSP00000366604,338.0,ENSP00000366604,Q15637,68330.0
9606.ENSP00000336888,332.0,ENSP00000336888,Q8IWA5,80124.0
9606.ENSP00000387262,332.0,ENSP00000387262,Q16891,83678.0
9606.ENSP00000337838,330.0,ENSP00000337838,Q9NQC3,129931.0
9606.ENSP00000229795,325.0,ENSP00000229795,Q16539,41293.0
9606.ENSP00000299157,320.0,ENSP00000299157,Q70UQ0,39309.0
9606.ENSP00000242351,320.0,ENSP00000242351,Q7Z2W4,101431.0
9606.ENSP00000376132,320.0,ENSP00000376132,O43795,131985.0
9606.ENSP00000371152,315.0,ENSP00000371152,Q13510,44660.0
9606.ENSP00000228251,315.0,ENSP00000228251,P16989,40090.0
9606.ENSP00000250244,314.0,ENSP00000250244,Q9Y6Q5,48108.0
9606.ENSP00000361824,313.0,ENSP00000361824,Q13813,284539.0
9606.ENSP00000401371,312.0,ENSP00000401371,P31483,42963.0
9606.ENSP00000244007,310.0,ENSP00000244007,P19174,148532.0
9606.ENSP00000321706,307.0,ENSP00000321706,P57678,120037.0
9606.ENSP00000339404,304.0,ENSP00000339404,Q8N9N2,45509.0
9606.ENSP00000293831,303.0,ENSP00000293831,P60842,46154.0
9606.ENSP00000367123,302.0,ENSP00000367123,P08195,67994.0
9606.ENSP00000425634,302.0,ENSP00000425634,P12081,57411.0
9606.ENSP00000373696,301.0,ENSP00000373696,Q14669,220434.0
9606.ENSP00000377700,301.0,ENSP00000377700,Q9NUY8,78322.0
9606.ENSP00000367038,300.0,ENSP00000367038,Q9P2E9,152456.0
9606.ENSP00000305260,299.0,ENSP00000305260,P62879,37331.0
9606.ENSP00000477639,297.0,ENSP00000477639,Q9UJ70,37376.0
9606.ENSP00000353408,297.0,ENSP00000353408,P26038,67820.0
9606.ENSP00000337168,297.0,ENSP00000337168,Q9H4G0,98503.0
9606.ENSP00000375836,294.0,ENSP00000375836,A0A024R4E5,141440.0
9606.ENSP00000318803,292.0,ENSP00000318803,Q9HCH5,104930.0
9606.ENSP00000357555,292.0,ENSP00000357555,,
9606.ENSP00000411825,291.0,ENSP00000411825,Q8WUM4,96023.0
9606.ENSP00000350199,291.0,ENSP00000350199,Q10567,104607.0
9606.ENSP00000438248,289.0,ENSP00000438248,O43852,37107.0
9606.ENSP00000378769,289.0,ENSP00000378769,P62140,37187.0
9606.ENSP00000410769,288.0,ENSP00000410769,P62633,19463.0
9606.ENSP00000339063,287.0,ENSP00000339063,P68104,50141.0
9606.ENSP00000350018,286.0,ENSP00000350018,,
9606.ENSP00000333326,286.0,ENSP00000333326,Q9NY65,50094.0
9606.ENSP00000357459,285.0,ENSP00000357459,P55265,136066.0
9606.ENSP00000400175,284.0,ENSP00000400175,P61586,21768.0
9606.ENSP00000221418,283.0,ENSP00000221418,Q13011,35816.0
9606.ENSP00000235835,283.0,ENSP00000235835,O43488,39589.0
9606.ENSP00000378260,281.0,ENSP00000378260,Q9NP73,126056.0
9606.ENSP00000357516,281.0,ENSP00000357516,A0A2R2Y2Q3,33112.0
9606.ENSP00000449428,280.0,ENSP00000449428,Q12792,40283.0
9606.ENSP00000420213,280.0,ENSP00000420213,O75369,278164.0
9606.ENSP00000261776,279.0,ENSP00000261776,Q08AM6,87973.0
9606.ENSP00000363745,278.0,ENSP00000363745,O43390,70943.0
9606.ENSP00000296859,278.0,ENSP00000296859,Q8TEU7,179423.0
9606.ENSP00000221957,277.0,ENSP00000221957,O60664,47075.0
9606.ENSP00000302768,277.0,ENSP00000302768,Q9H074,53525.0
9606.ENSP00000229239,277.0,ENSP00000229239,P04406,36053.0
9606.ENSP00000348596,276.0,ENSP00000348596,Q9NVU7,79871.0
9606.ENSP00000264161,276.0,ENSP00000264161,P14868,57136.0
9606.ENSP00000339795,275.0,ENSP00000339795,P18124,29226.0
9606.ENSP00000356425,275.0,ENSP00000356425,Q9Y5K5,37607.0
9606.ENSP00000338703,274.0,ENSP00000338703,Q16851,56940.0
9606.ENSP00000373918,274.0,ENSP00000373918,P41250,83166.0
9606.ENSP00000435210,273.0,ENSP00000435210,Q9NYF8,106122.0
9606.ENSP00000312734,272.0,ENSP00000312734,Q92930,23584.0
9606.ENSP00000482335,272.0,ENSP00000482335,A0A087WZ40,87818.0
9606.ENSP00000434442,269.0,ENSP00000434442,Q8N6H7,56720.0
9606.ENSP00000301396,269.0,ENSP00000301396,C9JFV4,124944.0
9606.ENSP00000377036,269.0,ENSP00000377036,Q15257,40668.0
9606.ENSP00000325017,269.0,ENSP00000325017,Q15021,157182.0
9606.ENSP00000388293,268.0,ENSP00000388293,Q8NFU3,12530.0
9606.ENSP00000416515,268.0,ENSP00000416515,A0A0A0MT64,58218.0
9606.ENSP00000325448,268.0,ENSP00000325448,Q15046,68048.0
9606.ENSP00000380157,268.0,ENSP00000380157,O96007,20944.0
9606.ENSP00000345731,267.0,ENSP00000345731,Q12959,100455.0
9606.ENSP00000377298,266.0,ENSP00000377298,Q14980,238260.0
9606.ENSP00000309539,265.0,ENSP00000309539,Q16555,62294.0
9606.ENSP00000370201,264.0,ENSP00000370201,Q9Y3D8,20061.0
9606.ENSP00000376309,264.0,ENSP00000376309,P51991,39595.0
9606.ENSP00000361990,263.0,ENSP00000361990,Q8IWV8,200538.0
9606.ENSP00000282486,262.0,ENSP00000282486,Q9NR56,41817.0
9606.ENSP00000391481,260.0,ENSP00000391481,P29401,67878.0
9606.ENSP00000343635,260.0,ENSP00000343635,Q6P9B6,50994.0
9606.ENSP00000362824,257.0,ENSP00000362824,O15294,116925.0
9606.ENSP00000316598,257.0,ENSP00000316598,O43824,56897.0
9606.ENSP00000417864,257.0,ENSP00000417864,P39687,28585.0
9606.ENSP00000394734,256.0,ENSP00000394734,P49759,57291.0
9606.ENSP00000356581,256.0,ENSP00000356581,Q86SQ4,136695.0
9606.ENSP00000369538,256.0,ENSP00000369538,P50395,50663.0
9606.ENSP00000256078,255.0,ENSP00000256078,P01116,21656.0
9606.ENSP00000262013,255.0,ENSP00000262013,O60271,146205.0
9606.ENSP00000302886,255.0,ENSP00000302886,Q9UQ80,43787.0
9606.ENSP00000320650,250.0,ENSP00000320650,Q9H1X3,42404.0
9606.ENSP00000416255,250.0,ENSP00000416255,Q04637,175491.0
9606.ENSP00000360329,249.0,ENSP00000360329,O95801,44679.0
9606.ENSP00000438144,249.0,ENSP00000438144,A0A5K1VW95,38619.0
9606.ENSP00000310094,249.0,ENSP00000310094,Q9UL54,138251.0
9606.ENSP00000246194,249.0,ENSP00000246194,Q9UKM9,32463.0
9606.ENSP00000313851,249.0,ENSP00000313851,Q9NTI5,164667.0
9606.ENSP00000369424,248.0,ENSP00000369424,Q16576,47820.0
9606.ENSP00000359804,247.0,ENSP00000359804,Q96AE4,67560.0
9606.ENSP00000369965,246.0,ENSP00000369965,P20290,22168.0
9606.ENSP00000251038,245.0,ENSP00000251038,Q6PJT7,82876.0
9606.ENSP00000419038,245.0,ENSP00000419038,Q96RP9,83471.0
9606.ENSP00000303147,245.0,ENSP00000303147,P31153,43661.0
